"","accDefRate","accExamCnt","accExamCompCnt","careCnt","clearCnt","createDt","deathCnt","decideCnt","examCnt","resutlNegCnt","seq","stateDt","stateTime","updateDt"
"1","0.9076239288","1620514","1604409","629","13629","2020-08-08 10:18:57.161","304","14562","16105","1589847","224","20200808","00:00","null"
"2","0.9093790242","1613652","1596584","673","13543","2020-08-07 10:11:42.66","303","14519","17068","1582065","223","20200807","00:00","null"
"3","0.9127731583","1606487","1588456","696","13501","2020-08-06 10:22:46.898","302","14499","18031","1573957","222","20200806","00:00","null"
"4","0.9151122018","1598187","1579697","748","13406","2020-08-05 10:20:58.194","302","14456","18490","1565241","221","20200805","00:00","null"
"5","0.9180449328","1589780","1571056","770","13352","2020-08-04 10:49:58.56","301","14423","18724","1556633","220","20200804","00:00","null"
"6","0.9209808775","1579757","1562356","808","13280","2020-08-03 10:22:38.424","301","14389","17401","1547967","219","20200803","00:00","null"
"7","0.9217967786","1576246","1558478","806","13259","2020-08-02 12:17:01.037","301","14366","17768","1544112","218","20200802","00:00","null"
"8","0.9227885516","1571830","1553552","802","13233","2020-08-01 10:20:04.002","301","14336","18278","1539216","217","20200801","00:00","null"
"9","0.9256107866","1563796","1545466","821","13183","2020-07-31 10:36:44.935","301","14305","18330","1531161","216","20200731","00:00","null"
"10","0.9282479734","1556215","1537197","837","13132","2020-07-30 11:11:23.001","300","14269","19018","1522928","215","20200730","00:00","2020-07-30 11:14:10.775"
"11","0.9326686653","1547307","1527981","882","13069","2020-07-29 10:44:55.248","300","14251","19326","1513730","214","20200729","00:00","null"
"12","0.9360953297","1537704","1517260","896","13007","2020-07-28 10:31:12.133","300","14203","20444","1503057","213","20200728","00:00","null"
"13","0.9398595945","1526974","1508204","971","12905","2020-07-27 10:35:55.409","299","14175","18770","1494029","212","20200727","00:00","null"
"14","0.9410046604","1522926","1503712","962","12890","2020-07-26 10:28:23.583","298","14150","19214","1489562","211","20200726","00:00","null"
"15","0.9401228724","1518634","1498953","928","12866","2020-07-25 10:19:50.222","298","14092","19681","1484861","210","20200725","00:00","null"
"16","0.9383340224","1510327","1489768","864","12817","2020-07-24 11:05:47.968","298","13979","20559","1475789","209","20200724","00:00","null"
"17","0.9421157792","1500854","1479436","883","12758","2020-07-23 10:38:02.297","297","13938","21418","1465498","208","20200723","00:00","null"
"18","0.9439441754","1492071","1470320","884","12698","2020-07-22 10:27:17.21","297","13879","21751","1456441","207","20200722","00:00","null"
"19","0.9472577108","1482390","1458526","877","12643","2020-07-21 11:07:32.302","296","13816","23864","1444710","206","20200721","00:00","null"
"20","0.9504510691","1470193","1448891","903","12572","2020-07-20 10:55:19.896","296","13771","21302","1435120","205","20200720","00:00","null"
"21","0.9523011114","1465299","1443346","894","12556","2020-07-19 10:19:04.08","295","13745","21953","1429601","204","20200719","00:00","null"
"22","0.9539540284","1460204","1437281","898","12519","2020-07-18 10:13:20.679","294","13711","22923","1423570","203","20200718","00:00","null"
"23","0.9574853264","1451017","1427907","919","12460","2020-07-17 10:40:48.691","293","13672","23110","1414235","202","20200717","00:00","null"
"24","0.9599814943","1441348","1417944","925","12396","2020-07-16 10:44:37.828","291","13612","23404","1404332","201","20200716","00:00","null"
"25","0.9624159901","1431316","1408019","914","12348","2020-07-15 10:38:15.025","289","13551","23297","1394468","200","20200715","00:00","null"
"26","0.9676816390","1420616","1396327","941","12282","2020-07-14 10:42:51.773","289","13512","24289","1382815","199","20200714","00:00","null"
"27","0.9721832542","1408312","1386467","986","12204","2020-07-13 10:20:51.913","289","13479","21845","1372988","198","20200713","00:00","null"
"28","0.9720252058","1402144","1380314","950","12178","2020-07-12 10:21:53.323","289","13417","21830","1366897","197","20200712","00:00","null"
"29","0.9732960405","1396941","1373991","941","12144","2020-07-11 10:24:19.527","288","13373","22950","1360618","196","20200711","00:00","null"
"30","0.9797533795","1384890","1361363","985","12065","2020-07-10 10:16:34.916","288","13338","23527","1348025","195","20200710","00:00","null"
"31","0.9862307555","1371771","1347859","987","12019","2020-07-09 10:50:30.028","287","13293","23912","1334566","194","20200709","00:00","null"
"32","0.9915229430","1359735","1335723","989","11970","2020-07-08 10:19:47.422","285","13244","24012","1322479","193","20200708","00:00","null"
"33","0.9966586491","1346194","1322519","982","11914","2020-07-07 10:15:15.306","285","13181","23675","1309338","192","20200707","00:00","null"
"34","1.0024387563","1331796","1310504","1005","11848","2020-07-06 10:42:19.893","284","13137","21292","1297367","191","20200706","00:00","null"
"35","1.0035985728","1326055","1304406","976","11832","2020-07-05 10:25:25.534","283","13091","21649","1291315","190","20200705","00:00","null"
"36","1.0044696199","1319523","1297202","936","11811","2020-07-04 10:13:42.477","283","13030","22321","1284172","189","20200704","00:00","null"
"37","1.0081627988","1307761","1286201","926","11759","2020-07-03 10:19:07.857","282","12967","21560","1273234","188","20200703","00:00","null"
"38","1.0111426287","1295962","1276180","938","11684","2020-07-02 10:27:02.501","282","12904","19782","1263276","187","20200702","00:00","null"
"39","1.0152444684","1285231","1265705","955","11613","2020-07-01 10:35:05.507","282","12850","19526","1252855","186","20200701","00:00","null"
"40","1.0215833424","1273766","1252957","981","11537","2020-06-30 11:19:14.228","282","12800","20809","1240157","185","20200630","00:00","null"
"41","1.0275845681","1259954","1241455","1046","11429","2020-06-29 10:29:35.516","282","12757","18499","1228698","184","20200629","00:00","2020-06-29 11:00:25.815"
"42","1.0314839902","1251695","1232690","1069","11364","2020-06-28 10:29:27.331","282","12715","19005","1219975","183","20200628","00:00","null"
"43","1.0338144673","1243780","1223914","1054","11317","2020-06-27 10:47:04.557","282","12653","19866","1211261","182","20200627","00:00","null"
"44","1.0384948499","1232315","1213487","1148","11172","2020-06-26 10:13:35.473","282","12602","18828","1200885","181","20200626","00:00","null"
"45","1.0455417792","1220478","1201578","1307","10974","2020-06-25 10:19:08.891","282","12563","18900","1189015","180","20200625","00:00","null"
"46","1.0548221402","1208597","1188352","1324","10930","2020-06-24 10:31:42.772","281","12535","20245","1175817","179","20200624","00:00","null"
"47","1.0636140726","1196012","1173734","1295","10908","2020-06-23 10:41:13.976","281","12484","22278","1161250","178","20200623","00:00","null"
"48","1.0697854838","1182066","1162663","1277","10881","2020-06-22 11:40:10.577","280","12438","19403","1150225","177","20200622","00:00","null"
"49","1.0741167355","1176463","1156392","1273","10868","2020-06-21 10:10:23.157","280","12421","20071","1143971","176","20200621","00:00","null"
"50","1.0764456500","1170901","1149431","1237","10856","2020-06-20 10:14:21.623","280","12373","21470","1137058","175","20200620","00:00","null"
"51","1.0824428058","1158063","1136873","1191","10835","2020-06-19 10:32:23.743","280","12306","21190","1124567","174","20200619","00:00","null"
"52","1.0904823674","1145712","1123998","1177","10800","2020-06-18 10:12:45.408","280","12257","21714","1111741","173","20200618","00:00","null"
"53","1.0975998214","1132823","1111334","1145","10774","2020-06-17 10:14:34.423","279","12198","21489","1099136","172","20200617","00:00","null"
"54","1.1078855382","1119767","1097135","1117","10760","2020-06-16 10:16:46.75","278","12155","22632","1084980","171","20200616","00:00","null"
"55","1.1172190545","1105719","1084926","1114","10730","2020-06-15 10:16:22.312","277","12121","20793","1072805","170","20200615","00:00","null"
"56","1.1200476008","1100328","1078972","1090","10718","2020-06-14 10:19:17.655","277","12085","21356","1066887","169","20200614","00:00","null"
"57","1.1248403885","1094704","1071352","1083","10691","2020-06-13 10:11:42.777","277","12051","23352","1059301","168","20200613","00:00","null"
"58","1.1353113711","1081487","1057243","1057","10669","2020-06-12 10:22:23.274","277","12003","24244","1045240","167","20200612","00:00","null"
"59","1.1472122942","1066888","1041394","1017","10654","2020-06-11 10:30:28.32","276","11947","25494","1029447","166","20200611","00:00","null"
"60","1.1603228470","1051972","1025749","1015","10611","2020-06-10 10:13:47.554","276","11902","26223","1013847","165","20200610","00:00","null"
"61","1.1751664290","1035997","1008538","989","10589","2020-06-09 10:08:46.492","274","11852","27459","996686","164","20200609","00:00","null"
"62","1.1887225307","1018214","993840","978","10563","2020-06-08 10:14:00.756","273","11814","24374","982026","163","20200608","00:00","null"
"63","1.1939717405","1012769","986288","951","10552","2020-06-07 10:20:08.998","273","11776","26481","974512","162","20200607","00:00","null"
"64","1.1990574522","1005305","977351","915","10531","2020-06-06 10:49:23.14","273","11719","27954","965632","161","20200606","00:00","null"
"65","1.2126452669","990960","962194","889","10506","2020-06-05 10:56:50.891","273","11668","28766","950526","160","20200605","00:00","null"
"66","1.2297244567","973858","945659","857","10499","2020-06-04 10:27:45.93","273","11629","28199","934030","159","20200604","00:00","null"
"67","1.2475954991","956852","928987","850","10467","2020-06-03 10:25:46.26","273","11590","27865","917397","158","20200603","00:00","null"
"68","1.2669483571","939851","910929","823","10446","2020-06-02 10:15:46.159","272","11541","28922","899388","157","20200602","00:00","null"
"69","1.2819098372","921391","897333","810","10422","2020-06-01 10:13:09.747","271","11503","24058","885830","156","20200601","00:00","null"
"70","1.2921282483","910822","887528","793","10405","2020-05-31 10:22:37.861","270","11468","23294","876060","155","20200531","00:00","null"
"71","1.3051518190","902901","876603","774","10398","2020-05-30 10:12:26.752","269","11441","26298","865162","154","20200530","00:00","null"
"72","1.3249465756","885120","860563","770","10363","2020-05-29 10:10:53.131","269","11402","24557","849161","153","20200529","00:00","null"
"73","1.3404293533","868666","846296","735","10340","2020-05-28 10:11:27.895","269","11344","22370","834952","152","20200528","00:00","null"
"74","1.3542674753","852876","831815","701","10295","2020-05-27 10:16:33.139","269","11265","21061","820550","151","20200527","00:00","null"
"75","1.3732045885","839475","817431","681","10275","2020-05-26 10:12:48.677","269","11225","22044","806206","150","20200526","00:00","null"
"76","1.3880012088","826437","807348","713","10226","2020-05-25 10:27:08.014","267","11206","19089","796142","149","20200525","00:00","null"
"77","1.3988269354","820289","799956","711","10213","2020-05-24 10:29:09.658","266","11190","20333","788766","148","20200524","00:00","null"
"78","1.4082091086","814420","792851","705","10194","2020-05-23 10:34:53.857","266","11165","21569","781686","147","20200523","00:00","null"
"79","1.4245677200","802418","782132","716","10162","2020-05-22 10:15:38.071","264","11142","20286","770990","146","20200522","00:00","null"
"80","1.4433003069","788684","770595","723","10135","2020-05-21 10:24:06.599","264","11122","18089","759473","145","20200521","00:00","null"
"81","1.4616843972","776433","760082","781","10066","2020-05-20 10:13:17.176","263","11110","16351","748972","144","20200520","00:00","null"
"82","1.4797321575","765574","748649","877","9938","2020-05-19 10:22:38.488","263","11078","16925","737571","143","20200519","00:00","null"
"83","1.5011165105","753211","737118","898","9904","2020-05-18 10:18:09.187","263","11065","16093","726053","142","20200518","00:00","null"
"84","1.5137131451","747653","729993","900","9888","2020-05-17 10:12:11.289","262","11050","17660","718943","141","20200517","00:00","null"
"85","1.5280312113","740645","722302","924","9851","2020-05-16 10:19:43.567","262","11037","18343","711265","140","20200516","00:00","2020-05-16 10:40:31.389"
"86","1.5586980386","726747","706872","937","9821","2020-05-15 10:33:33.767","260","11018","19875","695854","139","20200515","00:00","null"
"87","1.5911413772","711484","690762","969","9762","2020-05-14 10:18:24.652","260","10991","20722","679771","138","20200514","00:00","null"
"88","1.6207800503","695920","676341","1008","9695","2020-05-13 10:41:14.635","259","10962","19579","665379","137","20200513","00:00","null"
"89","1.6456000963","680890","664560","1008","9670","2020-05-12 10:12:13.807","258","10936","16330","653624","136","20200512","00:00","null"
"90","1.6589868759","668492","657570","1021","9632","2020-05-11 10:25:58.1","256","10909","10922","646661","135","20200511","00:00","null"
"91","1.6633066058","663886","653758","1008","9610","2020-05-10 10:14:56.134","256","10874","10128","642884","134","20200510","00:00","null"
