,group,long,lat
1,강남구,127.0697805,37.48844398
2,강동구,127.144465,37.55003658
3,강북구,127.0213497,37.63558957
4,강서구,126.8188287,37.55943656
5,관악구,126.9340312,37.47447803
6,광진구,127.0894249,37.55234822
7,구로구,126.8611065,37.49902375
8,금천구,126.8992304,37.46460909
9,노원구,127.0731959,37.64661304
10,도봉구,127.0376835,37.6615331
11,동대문구,127.0546428,37.58299955
12,동작구,126.9408223,37.50194689
13,마포구,126.9183917,37.55385559
14,서대문구,126.9323483,37.57807476
15,서초구,127.0251107,37.47591572
16,성동구,127.0436388,37.55682754
17,성북구,127.0249942,37.60080421
18,송파구,127.1213196,37.49982626
19,양천구,126.8564353,37.52072701
20,영등포구,126.915372,37.52085057
21,용산구,126.974214,37.52957841
22,은평구,126.9204222,37.60949937
23,종로구,126.9825997,37.58500558
24,중구,126.9882479,37.56082887
25,중랑구,127.0875556,37.59403095
