"행정구역(동읍면)별","항목",2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06
"행정구역(동읍면)별","항목",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"동인동","총인구수 (명)",9519,166,253,242,310,605,1003,651,650,548,720,692,834,724,582,552,482,285,137,58,16,9
"동인동","남자인구수 (명)",4723,76,131,113,163,275,507,369,343,304,402,364,440,369,264,235,203,110,37,12,4,2
"동인동","여자인구수 (명)",4796,90,122,129,147,330,496,282,307,244,318,328,394,355,318,317,279,175,100,46,12,7
"삼덕동","총인구수 (명)",6575,262,262,167,239,668,973,622,605,462,456,353,341,331,239,192,192,106,70,21,7,7
"삼덕동","남자인구수 (명)",3109,127,132,79,114,269,473,326,315,235,232,182,153,135,105,75,84,47,18,6,1,1
"삼덕동","여자인구수 (명)",3466,135,130,88,125,399,500,296,290,227,224,171,188,196,134,117,108,59,52,15,6,6
"성내1동","총인구수 (명)",4893,84,107,97,159,510,753,404,312,245,332,322,345,323,234,229,205,120,66,34,8,4
"성내1동","남자인구수 (명)",2328,38,61,38,75,191,345,236,165,134,171,172,175,173,108,81,89,44,18,10,2,2
"성내1동","여자인구수 (명)",2565,46,46,59,84,319,408,168,147,111,161,150,170,150,126,148,116,76,48,24,6,2
"성내2동","총인구수 (명)",4743,78,78,85,132,361,453,276,259,230,318,357,442,445,377,314,264,153,68,29,10,14
"성내2동","남자인구수 (명)",2417,41,42,43,65,164,254,167,136,132,177,204,225,238,173,157,104,62,17,9,4,3
"성내2동","여자인구수 (명)",2326,37,36,42,67,197,199,109,123,98,141,153,217,207,204,157,160,91,51,20,6,11
"성내3동","총인구수 (명)",5463,325,214,99,188,350,360,498,601,349,377,370,427,389,296,214,207,117,51,22,4,5
"성내3동","남자인구수 (명)",2728,152,109,52,96,165,190,262,318,200,189,181,218,194,141,101,97,44,11,5,2,1
"성내3동","여자인구수 (명)",2735,173,105,47,92,185,170,236,283,149,188,189,209,195,155,113,110,73,40,17,2,4
"대신동","총인구수 (명)",8322,535,381,250,321,451,471,630,875,537,624,634,652,596,398,353,308,185,75,28,8,10
"대신동","남자인구수 (명)",4059,249,189,144,162,244,257,286,469,287,303,297,307,304,174,145,136,73,24,6,2,1
"대신동","여자인구수 (명)",4263,286,192,106,159,207,214,344,406,250,321,337,345,292,224,208,172,112,51,22,6,9
"남산1동","총인구수 (명)",4995,145,165,126,211,330,351,285,367,309,366,397,441,408,290,273,271,172,62,17,7,2
"남산1동","남자인구수 (명)",2431,80,93,62,101,166,172,130,189,158,195,209,209,207,138,119,123,56,16,6,1,1
"남산1동","여자인구수 (명)",2564,65,72,64,110,164,179,155,178,151,171,188,232,201,152,154,148,116,46,11,6,1
"남산2동","총인구수 (명)",3549,55,73,93,135,265,274,199,188,193,326,271,334,277,221,223,193,120,62,25,10,12
"남산2동","남자인구수 (명)",1709,29,37,49,65,136,133,103,93,99,169,143,172,137,92,90,87,47,21,3,1,3
"남산2동","여자인구수 (명)",1840,26,36,44,70,129,141,96,95,94,157,128,162,140,129,133,106,73,41,22,9,9
"남산3동","총인구수 (명)",7130,340,325,246,264,356,382,453,588,584,572,555,548,485,438,337,328,201,85,32,7,4
"남산3동","남자인구수 (명)",3322,181,174,133,130,178,185,234,289,294,275,269,230,203,178,138,131,69,23,7,1,0
"남산3동","여자인구수 (명)",3808,159,151,113,134,178,197,219,299,290,297,286,318,282,260,199,197,132,62,25,6,4
"남산4동","총인구수 (명)",12348,468,561,550,610,738,708,627,899,913,1064,951,904,921,755,598,520,357,136,43,18,7
"남산4동","남자인구수 (명)",5872,259,297,293,308,390,368,314,438,440,527,439,434,395,314,256,218,121,45,10,5,1
"남산4동","여자인구수 (명)",6476,209,264,257,302,348,340,313,461,473,537,512,470,526,441,342,302,236,91,33,13,6
"대봉1동","총인구수 (명)",7747,319,290,277,373,496,496,478,589,524,639,598,587,512,405,361,374,253,112,44,13,7
"대봉1동","남자인구수 (명)",3663,166,154,127,185,245,269,223,291,262,293,289,284,231,180,130,154,120,37,18,4,1
"대봉1동","여자인구수 (명)",4084,153,136,150,188,251,227,255,298,262,346,309,303,281,225,231,220,133,75,26,9,6
"대봉2동","총인구수 (명)",2651,44,42,82,114,146,120,111,144,177,243,221,222,208,215,204,188,104,40,18,2,6
"대봉2동","남자인구수 (명)",1300,18,20,51,57,75,63,62,78,87,130,126,103,102,94,87,81,48,12,6,0,0
"대봉2동","여자인구수 (명)",1351,26,22,31,57,71,57,49,66,90,113,95,119,106,121,117,107,56,28,12,2,6
