"행정구역(동읍면)별","항목",2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06
"행정구역(동읍면)별","항목",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"소공동","총인구수 (명)",2050,80,108,45,54,74,140,191,266,239,180,158,124,139,90,54,52,26,15,6,5,4
"소공동","남자인구수 (명)",1005,43,55,16,12,26,62,99,128,122,93,82,68,81,44,26,26,10,7,2,2,1
"소공동","여자인구수 (명)",1045,37,53,29,42,48,78,92,138,117,87,76,56,58,46,28,26,16,8,4,3,3
"회현동","총인구수 (명)",5296,102,121,99,108,202,316,287,301,316,407,430,627,611,429,305,254,179,78,59,27,38
"회현동","남자인구수 (명)",2881,63,54,50,41,94,143,137,162,179,229,255,406,366,245,149,136,84,32,29,10,17
"회현동","여자인구수 (명)",2415,39,67,49,67,108,173,150,139,137,178,175,221,245,184,156,118,95,46,30,17,21
"명동","총인구수 (명)",2809,40,70,54,69,110,176,171,182,181,271,237,253,311,217,158,144,83,44,19,12,7
"명동","남자인구수 (명)",1176,22,37,24,20,45,96,78,79,72,121,98,108,128,89,62,53,25,6,7,4,2
"명동","여자인구수 (명)",1633,18,33,30,49,65,80,93,103,109,150,139,145,183,128,96,91,58,38,12,8,5
"필동","총인구수 (명)",4042,111,106,76,128,306,346,334,311,238,279,320,325,362,236,182,166,97,64,34,12,9
"필동","남자인구수 (명)",2115,67,52,39,70,143,203,186,170,133,163,183,166,187,119,93,76,35,16,9,2,3
"필동","여자인구수 (명)",1927,44,54,37,58,163,143,148,141,105,116,137,159,175,117,89,90,62,48,25,10,6
"장충동","총인구수 (명)",4728,92,103,129,214,591,574,364,332,284,347,302,312,300,215,197,180,113,49,21,6,3
"장충동","남자인구수 (명)",2404,53,51,66,98,276,354,205,174,145,197,152,157,146,98,87,78,40,18,8,1,0
"장충동","여자인구수 (명)",2324,39,52,63,116,315,220,159,158,139,150,150,155,154,117,110,102,73,31,13,5,3
"광희동","총인구수 (명)",4959,68,90,84,127,267,459,388,336,283,350,402,495,477,380,293,223,127,65,24,8,13
"광희동","남자인구수 (명)",2640,33,48,45,65,122,248,219,180,151,200,231,285,257,197,150,107,57,27,11,2,5
"광희동","여자인구수 (명)",2319,35,42,39,62,145,211,169,156,132,150,171,210,220,183,143,116,70,38,13,6,8
"을지로동","총인구수 (명)",1802,30,21,14,22,77,137,159,97,94,107,150,217,214,165,101,90,51,26,18,3,9
"을지로동","남자인구수 (명)",1100,19,11,7,11,29,68,96,56,56,79,112,147,147,112,58,47,23,11,7,0,4
"을지로동","여자인구수 (명)",702,11,10,7,11,48,69,63,41,38,28,38,70,67,53,43,43,28,15,11,3,5
"신당동","총인구수 (명)",7628,142,124,139,198,516,826,673,606,485,678,665,723,542,382,348,294,148,84,37,10,8
"신당동","남자인구수 (명)",3820,55,52,68,111,228,409,353,333,256,367,350,374,286,178,171,119,69,24,11,3,3
"신당동","여자인구수 (명)",3808,87,72,71,87,288,417,320,273,229,311,315,349,256,204,177,175,79,60,26,7,5
